,item_id,disc_0,diff,margin,kappa
0,q8,4.0256586,0.7417917,0.1288678,0.8958004
1,q9,3.9651968,1.7472367,0.059095494,0.70874524
2,q21,3.7428281,1.0219831,0.1031334,0.82655823
3,q29,2.7480092,-1.080708,0.15376753,0.80057204
4,q30,4.081688,-0.24992222,0.21302563,0.9600461
5,q34,3.9003494,1.5895771,0.06720412,0.7362602
6,q45,4.1315455,1.4818488,0.07466871,0.7909187
7,q46,4.0086646,-1.0462517,0.23244506,0.9622433
8,q54,3.914815,-0.12167156,0.19848683,0.94680613
9,q62,2.541604,-1.622595,0.11599457,0.69065416
10,q68,4.2050653,-0.5836054,0.23629984,0.97093374
11,q80,1.9989408,-1.0921847,0.1070047,0.57416487
12,q89,3.2530174,1.2606655,0.081460565,0.70499015
13,q101,3.374238,0.0139616355,0.17081293,0.89273477
14,q102,3.529602,-0.8382392,0.20628014,0.928729
15,q104,3.488995,0.03379924,0.17354228,0.9042785
16,q118,3.5395017,1.2025404,0.0882867,0.7650559
17,q129,4.018819,1.3512048,0.08235708,0.8026999
18,q131,2.3231978,1.1326305,0.07395783,0.52725923
19,q132,3.236672,-0.19638495,0.17671546,0.886641
20,q142,2.0845797,0.9387211,0.07777774,0.4991023
21,q145,1.8952495,-1.4200542,0.08880854,0.4953711
22,q160,2.7742944,1.1475265,0.08151584,0.6334051
23,q161,2.0290513,1.4314362,0.054823585,0.38850754
24,q172,3.934553,-0.08350631,0.19641843,0.9466954
25,q5,2.6378024,-0.8606652,0.15269893,0.7857824
26,q6,3.3566163,0.2905702,0.15168326,0.8700234
27,q7,2.1520336,-0.5574959,0.12681073,0.65796196
28,q11,2.404742,-0.32678682,0.13994312,0.73100257
29,q19,4.1283684,0.7817197,0.12671593,0.9004153
30,q20,4.157251,0.6824841,0.1357114,0.9130414
31,q26,2.8317988,-0.08407004,0.15415785,0.8169189
32,q27,2.605219,-1.1641244,0.14181238,0.759895
33,q41,1.736233,-1.7262769,0.06816965,0.38789427
34,q61,3.2317245,-0.7309023,0.18934944,0.89590466
35,q72,3.3058958,-0.9998042,0.19085291,0.9015752
36,q85,2.8744512,-1.3203588,0.15202206,0.8118036
37,q91,4.285043,1.5242599,0.072745934,0.80105454
38,q114,3.9671907,0.5476256,0.14475654,0.9102602
39,q123,0.9857677,-1.3807123,0.042589843,0.16081804
40,q126,3.6092257,0.35398707,0.15358588,0.8937889
41,q128,2.722021,-0.05022707,0.14791414,0.79300916
42,q146,2.8947096,0.74077016,0.10887194,0.7366925
43,q148,4.0417967,1.3856299,0.08025454,0.7988902
44,q155,2.026888,0.22424158,0.106693536,0.58421457
45,q170,3.6769793,-0.60068595,0.21174613,0.9409485
46,q179,3.8902092,1.4156007,0.077432066,0.7727998
47,q33,2.0464656,0.7646434,0.08479884,0.51802695
48,q38,2.2105374,-1.3503093,0.10991299,0.6204142
49,q40,2.4706702,-1.6457175,0.11067182,0.66523254
50,q48,3.060556,0.37648854,0.1372051,0.81773806
51,q51,3.5205042,1.2359493,0.08590123,0.7553828
52,q57,3.157514,1.1406196,0.08772428,0.71287453
53,q65,3.1323302,-1.1870452,0.17417628,0.86958
54,q69,2.709451,-1.5456607,0.13014305,0.74886036
55,q87,2.9841585,-1.2917389,0.16029674,0.83672434
56,q99,2.3961115,-1.0939683,0.13133132,0.7070792
57,q100,2.794424,-0.95737267,0.16025138,0.81708336
58,q130,1.9182401,-0.8810819,0.10798001,0.562209
59,q137,1.075803,-1.8128016,0.03647548,0.15208149
60,q143,3.679297,1.0568084,0.09987785,0.81234
61,q144,2.5825355,1.0896298,0.08135817,0.60139155
62,q147,2.4889672,-0.37846553,0.1452525,0.75406283
63,q156,2.7742443,0.062094532,0.14520577,0.79556566
64,q159,4.2229548,0.057513006,0.1934263,0.9574908
65,q162,3.042274,0.5307179,0.12639453,0.795787
66,q173,3.2415044,0.08842472,0.16152425,0.87119514
67,q1,2.7122233,0.58462185,0.114016384,0.72290087
68,q16,3.660925,-1.2877634,0.20374852,0.9324923
69,q32,2.9828959,0.9030978,0.100165546,0.72589505
70,q39,0.9681089,-1.8054463,0.03245175,0.123770595
71,q93,3.378933,-0.13235605,0.17945132,0.9009728
72,q98,2.1393828,-0.26511496,0.124655664,0.6518113
73,q103,3.6405196,0.6789693,0.12826042,0.8632813
74,q106,4.0665164,0.41921565,0.15783109,0.92849654
75,q115,1.7040228,-0.8370199,0.09589332,0.48229718
76,q127,0.7828229,-1.7161318,0.027053058,0.085176766
77,q133,2.737637,1.0182879,0.08838014,0.6520735
78,q149,1.7279207,-0.3774827,0.102113426,0.50807405
79,q151,3.5184445,1.037096,0.09938635,0.79302645
80,q152,3.114318,1.5307106,0.06477416,0.6163987
81,q166,2.782978,1.2037712,0.078463264,0.62315494
82,q4,1.6667475,-1.5305071,0.072205484,0.39093637
83,q15,4.2065797,0.89158994,0.118226126,0.89450735
84,q22,4.276615,1.576154,0.06962152,0.7894125
85,q25,2.4014256,0.3437142,0.11703694,0.6807461
86,q37,3.2998981,-1.1725458,0.18535304,0.8953104
87,q59,3.7960064,-0.38789436,0.20967203,0.94637674
88,q67,3.1169276,-0.42930454,0.17926916,0.8778066
89,q84,2.9124272,-0.59571636,0.17082494,0.8470508
90,q96,1.0126834,-1.5392412,0.040256083,0.1568523
91,q105,2.0425212,0.34681526,0.10281372,0.5760344
92,q138,4.019688,1.6790192,0.06286319,0.7327981
93,q153,1.5237366,-1.5207312,0.06523442,0.33717376
94,q163,2.6444838,-0.67405564,0.15538335,0.7922202
95,q169,2.2198887,-1.1028091,0.120138645,0.65068746
96,q177,4.0161934,0.0651832,0.18734773,0.94573605
97,q23,2.8102388,0.688082,0.110222846,0.72792757
98,q44,2.7369947,-0.7795524,0.15999457,0.8107485
99,q58,2.8804293,-0.53428465,0.16855174,0.8409725
100,q63,3.8499606,0.1642527,0.1748405,0.92916805
101,q75,1.3852751,-1.4844469,0.05945462,0.28942066
102,q86,2.9784389,-1.2892126,0.16005015,0.83577657
103,q88,4.107376,0.7093995,0.13271031,0.90633893
104,q90,3.6209846,1.3647097,0.07864531,0.74415743
105,q94,2.9906354,-0.0061083585,0.15732387,0.8401573
106,q117,2.9970384,0.03798054,0.15532163,0.8381644
107,q119,4.258885,1.027254,0.107578814,0.88189465
108,q122,4.2128983,1.2318363,0.09175335,0.84664786
109,q175,3.212373,1.5163846,0.066427335,0.6387747
110,q180,3.89955,0.28930852,0.1657179,0.9251614
111,q181,3.4761171,0.7860101,0.11717122,0.8276979
112,q53,4.1909637,0.6520598,0.13885388,0.91848093
113,q73,1.7151268,-1.4511575,0.07772112,0.42100143
114,q76,3.150908,-0.64593524,0.18447742,0.8850587
115,q83,2.9930747,-1.3791589,0.15662253,0.8319535
116,q95,2.3320293,0.78767794,0.0919808,0.5958402
117,q113,3.044425,0.74063987,0.11219855,0.7654606
118,q134,1.7164295,-1.2309312,0.08566046,0.44996613
119,q141,1.57216,-1.6143064,0.06438136,0.34272313
120,q164,1.9031109,-0.5037707,0.11226225,0.57297474
121,q167,2.5186954,-0.06347515,0.13913608,0.74807096
122,q174,3.2556198,1.3339149,0.077085756,0.68932843
123,q178,4.1981115,1.2948326,0.08722742,0.83430326
124,q2,1.0095197,-0.5497866,0.058311403,0.21623021
125,q14,3.0884697,0.5430216,0.12674029,0.8021401
126,q18,4.329477,1.3511096,0.084058024,0.8386738
127,q24,3.0964541,-0.0034348518,0.16140059,0.8567591
128,q28,3.5483382,0.49427155,0.14113295,0.873598
129,q50,2.4403315,-0.68560654,0.1431587,0.7410537
130,q52,3.3328114,0.7253236,0.11912502,0.81583565
131,q108,3.3203804,-0.21884274,0.18134785,0.8978894
132,q109,3.1585417,-0.37083814,0.17974079,0.8822685
133,q171,3.973522,0.83828896,0.12014566,0.87941974
134,q71,2.6894472,-0.51405823,0.15777138,0.8027979
135,q77,3.702545,-1.044124,0.21413672,0.9416726
136,q107,3.7250326,0.096957915,0.17657977,0.92294335
137,q112,2.69279,-0.62166286,0.15835753,0.8035612
138,q140,1.3650512,-1.1272819,0.068790376,0.32034487
139,q158,2.0300434,-0.020284854,0.114177555,0.60513705
140,q165,3.113171,-1.3142229,0.1674487,0.8591387
141,q43,2.5234928,0.49717376,0.1133603,0.69168234
142,q81,1.071725,0.26668933,0.059508324,0.23297435
143,q97,3.509053,0.08096411,0.17103668,0.90353906
144,q110,3.8181188,1.1793191,0.09253575,0.80914426
145,q120,4.2504234,-0.17317623,0.21317494,0.96597093
146,q121,1.2039235,-1.3102733,0.055213094,0.24109226
147,q154,3.2471733,-0.081056885,0.17147133,0.88248
148,q10,1.5975081,-0.042830013,0.092066824,0.45023054
149,q35,1.9106686,0.5275682,0.090408504,0.51084125
150,q78,3.300434,1.4793314,0.06921807,0.66400445
151,q42,4.279397,1.3039073,0.08704667,0.8415509
152,q66,3.8950791,-0.48409718,0.21829304,0.9544241
153,q82,2.899763,-1.2834989,0.15533054,0.8201232
154,q92,3.0992117,-0.9796246,0.17858285,0.8725747
155,q111,3.2157145,0.2058028,0.15320489,0.8584626
156,q116,3.2961414,-0.2946601,0.18354589,0.89772195
157,q3,4.2954297,0.42088196,0.1616401,0.9431379
158,q12,3.4465618,0.34821802,0.14992642,0.87595737
159,q168,2.7267792,-1.3236438,0.14260447,0.77709496
160,q49,4.129861,0.8154076,0.12385851,0.8967613
161,q55,2.4424362,-1.4710783,0.11807281,0.6809904
162,q13,4.181737,-0.04784895,0.201194,0.95922565
163,q36,3.908239,0.5072963,0.14721967,0.90884626
164,q56,3.5114746,0.3462878,0.15174803,0.88376
165,q64,4.065246,1.6766711,0.06317344,0.73973966
166,q124,4.361498,1.2959604,0.088021874,0.85138994
167,q150,1.9897383,-0.15099129,0.11482203,0.59858865
168,q17,3.3016517,-1.0227996,0.19005549,0.9004456
169,q31,4.1192317,1.1751288,0.095238,0.84590405
170,q47,4.1495504,0.44813964,0.15669245,0.9321721
171,q60,4.032351,1.3835839,0.08033122,0.7980977
172,q70,3.1826558,0.16945782,0.15445216,0.8567745
173,q74,3.1330762,-1.6102498,0.152322,0.83927286
174,q79,2.7072048,-0.3021593,0.15535256,0.80231136
175,q125,2.120459,0.6388478,0.09301174,0.56036913
176,q135,3.4674466,0.9179247,0.10725426,0.8059335
177,q136,4.3039365,1.4211816,0.079291984,0.82321763
178,q139,4.1380353,1.5196995,0.07240075,0.78392994
179,q157,1.7939923,-0.8696146,0.10065764,0.5155073
180,q176,3.5122535,-1.2416832,0.19617581,0.91885227
181,q182,3.5235238,-1.2244258,0.19758123,0.9206621
